cities,Seattle,Minneapolis,Chicago,New York,Indianapolis,Kansas City,Nashville,Atlanta,Jacksonville,New Orleans,Dallas,Las Vegas
Seattle,0,1656,-1,-1,-1,-1,-1,-1,-1,-1,-1,1117
Minneapolis,1656,0,408,-1,-1,436,-1,-1,-1,-1,-1,-1
Chicago,-1,408,0,790,183,510,-1,-1,-1,-1,-1,-1
New York,-1,-1,790,0,709,-1,886,871,-1,-1,-1,-1
Indianapolis,-1,-1,183,709,0,-1,289,-1,-1,-1,-1,-1
Kansas City,-1,436,510,-1,-1,0,555,-1,-1,-1,506,-1
Nashville,-1,-1,-1,886,289,555,0,248,-1,-1,-1,-1
Atlanta,-1,-1,-1,871,-1,-1,248,0,346,470,-1,-1
Jacksonville,-1,-1,-1,-1,-1,-1,-1,346,0,548,-1,-1
New Orleans,-1,-1,-1,-1,-1,-1,-1,470,548,0,505,-1
Dallas,-1,-1,-1,-1,-1,506,-1,-1,-1,505,0,1218
Las Vegas,1117,-1,-1,-1,-1,-1,-1,-1,-1,-1,1218,0
